       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
           ========== 6x42E-3 ==========

       RPM       VMPH       EFF      HP
      1000         2        0.45    0.0000
      2000         6        0.52    0.0000
      3000         9        0.55    0.0010
      4000        12        0.58    0.0030
      5000        16        0.60    0.0060
      6000        19        0.61    0.0100
      7000        22        0.62    0.0150
      8000        26        0.63    0.0220
      9000        29        0.64    0.0310
     10000        33        0.65    0.0420
     11000        36        0.66    0.0550
     12000        39        0.66    0.0710
     13000        44        0.67    0.0860
     14000        46        0.68    0.1110
     15000        51        0.68    0.1310
     16000        54        0.68    0.1580
     17000        58        0.69    0.1890
     18000        61        0.69    0.2240
     19000        65        0.70    0.2630
     20000        68        0.70    0.3060
     21000        72        0.70    0.3540
     22000        75        0.71    0.4070
     23000        79        0.71    0.4650
     24000        82        0.71    0.5290
     25000        85        0.71    0.5980
     26000        90        0.72    0.6570
     27000        97        0.72    0.6970
     28000        97        0.72    0.8300
     29000       104        0.72    0.8680
     30000       108        0.73    0.9460
     31000       111        0.73    1.0680
     32000       115        0.73    1.1650
     33000       120        0.73    1.2730
     34000       122        0.73    1.4420
     35000       125        0.73    1.5990
     36000       123        0.72    1.9170
     37000       127        0.72    2.1190
     38000       130        0.71    2.3470
     39000       130        0.69    2.7160
     40000       132        0.68    3.0660
 


           ========== 6x45E ==========

       RPM       VMPH       EFF      HP
      1000         2        0.47    0.0000
      2000         6        0.53    0.0000
      3000         9        0.56    0.0010
      4000        12        0.58    0.0030
      5000        15        0.60    0.0060
      6000        19        0.61    0.0090
      7000        22        0.62    0.0140
      8000        26        0.63    0.0210
      9000        30        0.64    0.0290
     10000        32        0.65    0.0410
     11000        35        0.65    0.0540
     12000        39        0.66    0.0690
     13000        43        0.66    0.0840
     14000        48        0.67    0.1020
     15000        49        0.67    0.1310
     16000        53        0.68    0.1570
     17000        57        0.68    0.1870
     18000        60        0.68    0.2230
     19000        66        0.69    0.2440
     20000        69        0.69    0.2890
     21000        72        0.69    0.3390
     22000        77        0.69    0.3730
     23000        79        0.70    0.4470
     24000        84        0.70    0.4910
     25000        86        0.70    0.5730
     26000        90        0.70    0.6280
     27000        95        0.71    0.6890
 


           ========== 6x4E ==========

       RPM       VMPH       EFF      HP
      1000         2        0.45    0.0000
      2000         5        0.52    0.0000
      3000         8        0.56    0.0010
      4000        12        0.59    0.0020
      5000        15        0.61    0.0040
      6000        18        0.63    0.0060
      7000        22        0.64    0.0090
      8000        25        0.65    0.0140
      9000        28        0.66    0.0190
     10000        32        0.67    0.0260
     11000        35        0.68    0.0340
     12000        38        0.68    0.0440
     13000        41        0.69    0.0560
     14000        44        0.70    0.0700
     15000        48        0.70    0.0850
     16000        52        0.71    0.1010
     17000        57        0.71    0.1150
     18000        60        0.71    0.1370
     19000        64        0.72    0.1600
     20000        67        0.72    0.1870
     21000        70        0.73    0.2160
     22000        74        0.73    0.2480
     23000        77        0.73    0.2840
     24000        80        0.74    0.3230
     25000        84        0.74    0.3650
     26000        87        0.74    0.4120
     27000        90        0.74    0.4620
     28000        94        0.75    0.5170
     29000        97        0.75    0.5770
     30000       105        0.75    0.5890
     31000       105        0.75    0.7000
     32000       112        0.75    0.7240
     33000       111        0.75    0.8620
 


           ========== 6x5 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.43    0.0000
      2000         7        0.53    0.0000
      3000        11        0.58    0.0010
      4000        15        0.61    0.0030
      5000        19        0.64    0.0050
      6000        23        0.65    0.0090
      7000        27        0.67    0.0130
      8000        32        0.68    0.0190
      9000        35        0.69    0.0280
     10000        41        0.70    0.0350
     11000        45        0.71    0.0470
     12000        49        0.72    0.0600
     13000        53        0.73    0.0760
     14000        58        0.73    0.0950
     15000        62        0.74    0.1160
     16000        66        0.74    0.1400
     17000        70        0.75    0.1680
     18000        74        0.75    0.1990
     19000        79        0.76    0.2330
     20000        84        0.76    0.2670
     21000        91        0.76    0.2910
     22000        95        0.77    0.3350
     23000       100        0.77    0.3830
     24000       104        0.78    0.4360
     25000       109        0.78    0.4940
     26000       113        0.78    0.5580
     27000       117        0.78    0.6270
