       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       4000        10.551         0.762        12.011        0.0287        0.0883       0.729
       5000        16.634         1.487        18.739        0.0287        0.0891       0.740
       6000        24.223         2.584        27.146        0.0288        0.0901       0.748
       7000        33.427         4.156        37.419        0.0292        0.0914       0.754
       8000        44.397         6.331        49.875        0.0298        0.0929       0.758
       9000        57.323         9.563        66.972        0.0316        0.0948       0.736
      10000        72.256        15.547        97.992        0.0375        0.0968       0.641
      11000        86.854        25.081       143.713        0.0454        0.0962       0.524


                       22x12WE.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.749         0.016         1.009        0.0386        0.1004       0.657
       2000         3.010         0.121         3.800        0.0363        0.1008       0.703
       3000         6.810         0.398         8.356        0.0355        0.1014       0.725
       4000        12.192         0.935        14.735        0.0352        0.1021       0.738
       5000        19.226         1.828        23.047        0.0353        0.1030       0.748
       6000        28.007         3.185        33.461        0.0356        0.1042       0.755
       7000        38.670         5.134        46.226        0.0361        0.1057       0.760
       8000        51.402         7.837        61.746        0.0369        0.1076       0.763
       9000        66.461        11.710        82.008        0.0387        0.1099       0.751
      10000        83.967        18.533       116.813        0.0447        0.1125       0.674
      11000       102.055        30.633       175.521        0.0555        0.1130       0.546


                       22x13EPN.dat               

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.663         0.014         0.867        0.0332        0.0888       0.636
       2000         2.662         0.103         3.237        0.0310        0.0891       0.686
